pl_name,sy_snum,pl_orbsmax,pl_rade,st_rad,sy_dist
CoRoT-31 b,1,0.0586,16.365,2.15,2005.76
CoRoT-35 b,1,0.0429,18.831,1.65,1123.21
CoRoT-36 b,1,0.066,15.805,1.52,925.958
CoRoT-4 b,1,0.09,13.34,1.17,726.412
CoRoT-5 b,1,0.04947,15.558,1.19,882.472
CoRoT-6 b,1,0.0855,13.068,1.03,645.294
CoRoT-7 b,1,0.017016,1.681,0.83,159.906
CoRoT-7 c,1,0.046,2.83,0.86,159.906
CoRoT-7 d,1,0,4.31,0.84,159.906
CoRoT-8 b,1,0.063,6.39,0.77,322.037
CoRoT-9 b,2,0.4021,11.949,0.96,412.98
CoRoTID 223977153 b,1,0.071,6.389,0.79,576.683
DE CVn b,2,5.75,12.4,0.42,30.5225
DENIS-P J082303.1-491201 b,1,0.36,11.9,0,20.77
DH Tau b,1,330,30.264,0.27,134.846
DMPP-1 b,1,0.1462,5.29,1.26,62.5388
DMPP-1 c,1,0.0733,3.06,1.26,62.5388
DMPP-1 d,1,0.0422,1.65,1.26,62.5388
DMPP-1 e,1,0.0651,1.86,1.26,62.5388
DMPP-2 b,1,0.0664,14.3,1.78,137.94
DMPP-3 A b,2,0.0662,1.41,0.91,45.23
DMPP-4 b,1,0.04853,3.53,1.38,25.3284
DP Leo b,2,8.19,12.7,0.01,305.684
DS Tuc A b,2,0,5.7,0.96,44.0622
EPIC 201170410.02,1,0.0349,1.047,0.28,134
EPIC 201238110 b,1,0,1.87,0.37,159.259
EPIC 201427007 b,1,0,1.5,0.94,706.391
EPIC 201497682 b,1,0,0.692,0.55,253.026
EPIC 201595106 b,1,0,1.3,0.93,232.1
EPIC 201615463 c,1,0,1.22,1.6,476.882
EPIC 201754305 d,1,0,1.03,0.54,334.967
EPIC 201757695.02,1,0.0296,0.908,0.66,577.6
EPIC 201833600 c,1,0,1,0.63,257.443
EPIC 201841433 b,1,0.035,1.04,0.63,436.488
EPIC 205950854 c,1,0,1.31,0.83,243.935
EPIC 206024342 b,1,0,1.7,0.82,369.888
EPIC 206024342 c,1,0,1.4,1.1,369.888
EPIC 206024342 d,1,0,2.6,1.1,369.888
EPIC 206032309 b,1,0,1.01,0.37,161.365
EPIC 206042996 b,1,0,1.7,0.5,451.769
EPIC 206042996 c,1,0,1.2,0.5,451.769
EPIC 206215704 b,1,0,1,0.25,109.888
EPIC 206317286 b,1,0,0.96,0.67,314.35
EPIC 206317286 c,1,0,2.094,0.76,314.35
EPIC 211822797 b,1,0.1195,1.92,0.58,186.197
EPIC 211945201 b,1,0.1493,5.76,1.39,181.69
EPIC 212297394 b,1,0,1.48,0.8,418.395
EPIC 212297394 c,1,0,2.27,0.8,418.395
EPIC 212424622 b,1,0,2.17,1.22,611.804
EPIC 212499991 b,1,0,1.6,0.76,283.29
EPIC 212587672 b,1,0,1.26,0.98,320.07
EPIC 212587672 c,1,0,2.32,0.98,320.07
EPIC 212624936 b,1,0,1.2,0.93,561.929
EPIC 212624936 c,1,0,2.3,0.93,561.929
EPIC 212737443 b,1,0.098,2.586,0.67,336.25
EPIC 212737443 c,1,0.28,2.69,0.67,336.25
EPIC 220492298 b,1,0,0.99,0.89,624.512
EPIC 220554210 c,1,0,1.6,1,496.289
EPIC 220674823 b,1,0.01326,1.725,0.99,244.59
EPIC 220674823 c,1,0.1083,2.836,0.99,244.59
EPIC 228836835 b,1,0,1.1,0.32,150.124
EPIC 229004835 b,1,0.1237,2.332,1,121.971
EPIC 246851721 b,2,0.07229,11.781,1.59,372.632
EPIC 248847494 b,1,4.5,12.442,2.7,551.886
EPIC 249893012 b,1,0.047,1.95,1.71,321.296
EPIC 249893012 c,1,0.13,3.67,1.71,321.296
EPIC 249893012 d,1,0.22,3.94,1.71,321.296
FU Tau b,1,800,12.2,0,133.4950466
G 196-3 b,1,350,12,0.52,21.7912
G 264-012 b,1,0.02279,1.39,0.3,16.009
G 264-012 c,1,0.0525,1.76,0.3,16.009
G 9-40 b,1,0.0385,2.025,0.31,27.9276
GJ 1002 b,1,0.0457,1.03,0.14,4.84867
GJ 1002 c,1,0.0738,1.1,0.14,4.84867
GJ 1061 b,1,0.021,1.1,0.16,3.67278
GJ 1061 c,1,0.035,1.18,0.16,3.67278
GJ 1061 d,1,0.054,1.16,0.16,3.67278
GJ 1132 b,1,0.0157,1.192,0.22,12.613
GJ 1132 c,1,0.0476,1.43,0.21,12.613
GJ 1148 b,1,0.166,11.9,0.36,11.0143
GJ 1148 c,1,0.912,9.71,0.36,11.0143
GJ 1151 c,1,0.5714,3.25,0.18,8.03625
GJ 1214 b,1,0.01505,2.733,0.22,14.6427
GJ 1252 b,1,0.00915,1.193,0.39,20.373
GJ 1265 b,1,0.026,2.63,0.19,10.2525
GJ 143 b,1,0.1915,2.61,0.7,16.32
GJ 15 A b,2,0.072,1.55,0.38,3.56228
GJ 15 A c,2,5.4,6.67,0.38,3.56228
GJ 160.2 b,1,0.053,3.17,0.66,25.8557
GJ 163 b,1,0.0607,3.25,0.41,15.1285
GJ 163 c,1,0.1254,2.5,0.41,15.1285
GJ 163 d,1,1.0304,5.92,0.41,15.1285
GJ 179 b,1,2.41,13.8,0.38,12.356
GJ 180 b,1,0.092,2.43,0.41,11.9407
GJ 180 c,1,0.129,2.41,0.41,11.9407
GJ 180 d,1,0.309,2.66,0.41,11.9407
GJ 2030 b,1,0.034,2.03,2.24,37.0788
GJ 2030 c,1,16.761,12.3,2.24,37.0788
GJ 2056 b,1,0.283,4.17,0.71,28.4434
GJ 229 A c,2,0.384,2.87,0.46,5.75624
GJ 229 b,2,1.086,3.97,0.46,5.75624
GJ 238 b,1,0.02123,0.566,0.43,15.2142
GJ 251 b,1,0.0818,1.83,0.36,5.58057
GJ 27.1 b,1,0.101,3.66,0.52,23.6062
GJ 273 b,1,0.091101,1.51,0.29,5.921535
GJ 273 c,1,0.036467,1.06,0.29,5.921535
GJ 3021 b,2,0.49,13.1,0.9,17.5559
GJ 3082 b,1,0.079,2.79,0.47,16.6186
GJ 3090 b,1,0.03165,2.13,0.52,22.4751
GJ 3138 b,1,0.0197,1.18,0.5,28.4712
GJ 3138 c,1,0.057,1.88,0.5,28.4712
GJ 3138 d,1,0.698,3.23,0.5,28.4712
GJ 317 b,1,1.151,13.3,0.43,15.1968
GJ 317 c,1,5.23,13.5,0.43,15.1968
GJ 3222 b,2,0.091,3.4,0.93,18.23817
