pl_name,sy_snum,pl_orbsmax,pl_rade,st_rad,sy_dist
K2-261 b,1,0.1034,9.528,1.64,213.283
K2-263 b,1,0.2573,2.41,0.85,162.481
K2-264 b,1,0.05023,2.231,0.47,185.605
K2-264 c,1,0.11283,2.668,0.47,185.605
K2-265 b,2,0.03376,1.71,0.98,138.671
K2-266 b,2,0.01306,3.3,0.7,77.5586
K2-266 c,2,0.0679,0.705,0.7,77.5586
K2-266 d,2,0.1035,2.93,0.7,77.5586
K2-266 e,2,0.1249,2.73,0.7,77.5586
K2-268 b,1,0.0308,1.5,0.78,327.783
K2-268 c,1,0.0819,2.69,0.78,327.783
K2-268 d,1,0,1.49,0.78,327.783
K2-268 e,1,0,1.33,0.78,327.783
K2-268 f,1,0,2.23,0.78,327.783
K2-269 b,1,0.0531,1.57,1.45,360.76
K2-27 b,3,0.06702,4.48,0.89,249.645
K2-270 b,1,0.0247,1.38,0.77,280.518
K2-270 c,1,0.0497,2.95,0.77,280.518
K2-271 b,1,0.077,7.28,0.99,564.454
K2-272 b,1,0.1007,3.13,0.83,423.065
K2-273 b,1,0.0729,3.05,0.85,308.105
K2-274 b,1,0.0964,2.08,0.7,228.327
K2-275 b,1,0.0277,2.34,0.69,123.438
K2-275 c,1,0.0881,2.21,0.69,123.438
K2-276 b,1,0.1291,3.77,0.85,488.152
K2-277 b,1,0.0675,2.07,0.97,113.123
K2-278 b,1,0.0488,2.98,1.61,786.439
K2-279 b,1,0.067,1.21,0.86,182.983
K2-28 b,1,0.0214,2.32,0.29,62.9969
K2-280 b,1,0.1461,7.5,1.28,391.537
K2-281 b,1,0.0773,8.18,0.76,458.139
K2-282 b,1,0.0499,2.5,1,496.289
K2-283 b,1,0.0291,3.52,0.82,402.915
K2-284 b,1,0.04771,2.78,0.61,107.272
K2-285 b,1,0.03817,2.59,0.79,154.961
K2-285 c,1,0.0824,3.53,0.79,154.961
K2-285 d,1,0.1178,2.48,0.79,154.961
K2-285 e,1,0.18041,1.95,0.79,154.961
K2-286 b,1,0.1768,2.1,0.62,76.1486
K2-287 b,1,0.1206,9.494,1.07,158.335
K2-288 B b,2,0.164,1.9,0.32,65.6138
K2-289 b,1,0.107,9.1,1.03,274.3
K2-29 b,2,0.04217,13.339,0.86,178.475
K2-290 b,3,0.0923,3.06,1.51,272.909
K2-290 c,3,0.305,11.276,1.51,272.909
K2-291 b,1,0.03261,1.589,0.9,90.0562
K2-292 b,1,0.13,2.63,1.09,114.293
K2-293 b,1,0,2.45,0.95,392.251
K2-294 b,1,0,1.66,1.2,373.078
K2-295 b,1,0.0451,10.054,0.7,232.801
K2-3 b,1,0.0747,2.078,0.55,44.0727
K2-3 c,1,0.1357,1.582,0.55,44.0727
K2-3 d,1,0.2014,1.458,0.55,44.0727
K2-30 b,1,0.04839,11.646,0.84,333.042
K2-308 b,1,0,9.916,1.24,1314.53
K2-31 b,2,0.022,11.882,0.78,110.527
K2-312 c,1,1.961,12.8,1.22,109.86
K2-315 b,1,0,0.95,0.2,56.9686
K2-316 b,1,0.0147,1.33,0.38,112.486
K2-316 c,1,0.0582,1.83,0.38,112.486
K2-317 b,1,0.0542,2.93,0.38,176.291
K2-318 b,1,0.0911,1.66,0.55,147.866
K2-319 b,1,0.1516,2.79,0.9,209.071
K2-32 b,2,0.0795,5.299,0.86,157.682
K2-32 c,2,0.13843,3.134,0.86,157.682
K2-32 d,2,0.18422,3.484,0.86,157.682
K2-32 e,2,0.04899,1.212,0.86,157.682
K2-320 b,1,0.0142,2.62,0.3,108.74
K2-321 b,1,0.041,1.95,0.58,77.6888
K2-322 b,1,0.0594,1.92,0.6,123.415
K2-323 b,1,0.1275,2.1,0.55,118.318
K2-324 b,1,0.0331,2.43,0.51,136.667
K2-325 b,1,0.0419,2.2,0.3,111.638
K2-326 b,1,0.0198,2.28,0.69,282.308
K2-329 b,1,0.1016,8.676,0.82,233.237
K2-33 b,1,0.0409,5.04,1.05,139.268
K2-330 b,1,0,2.77,1.5,160.125
K2-331 b,1,0,1.79,1.06,211.43
K2-331 c,1,0,2.72,1.06,211.43
K2-332 b,1,0,2.2,0.28,123.202
K2-333 b,1,0,6.18,1.22,343.99
K2-334 b,1,0,5.65,1.49,371.823
K2-335 b,1,0,2.21,1.33,557.993
K2-336 b,1,0,1.22,0.8,239.289
K2-337 b,1,0,2.62,1.32,421.636
K2-338 b,1,0,1.03,0.63,156.951
K2-339 b,1,0,1.92,0.72,360.36
K2-34 b,1,0.0442,13.75,1.42,348.646
K2-340 b,1,0,3.36,1.13,738.136
K2-341 b,1,0,3.21,1.16,421.408
K2-342 b,1,0,2.03,1.09,208.357
K2-343 b,1,0,1.65,0.46,166.169
K2-343 c,1,0,2.02,0.46,166.169
K2-344 b,1,0,1.59,0.49,75.1691
K2-345 b,1,0,2.11,0.52,162.408
K2-346 b,1,0,2.26,0.7,105.58
K2-347 b,1,0,2.41,0.63,320.336
K2-348 b,1,0,3.26,0.85,201.856
K2-348 c,1,0,2.67,0.85,201.856
K2-349 b,1,0,1.38,0.49,453.567
K2-35 b,1,0.031,1.32,0.62,252.596
K2-35 c,1,0.055,1.93,0.62,252.596
K2-350 b,1,0,1.54,1.04,489.368
K2-350 c,1,0,2.74,1.04,489.368
K2-351 b,1,0,2.54,1.05,694.734
K2-352 b,1,0,1.37,0.95,176.051
K2-352 c,1,0,1.92,0.95,176.051
K2-352 d,1,0,2.23,0.95,176.051
K2-353 b,1,0,5.55,0.99,268.515
K2-354 b,1,0,1.56,0.41,91.722
K2-355 b,1,0.0632,2.25,0.92,500.497
K2-356 b,1,0.1599,2.29,0.86,355.54
K2-357 b,1,0.145,3.72,1,517.687
K2-358 b,1,0.0863,2.68,0.91,480.307
K2-36 b,1,0.02288,1.43,0.72,109.749
K2-36 c,1,0.05528,3.2,0.72,109.749
K2-365 b,1,0,2.906,1.05,187.222
K2-366 b,1,0,2.359,0.94,185.947
K2-367 b,1,0,2.413,0.62,176.965
K2-368 b,1,0,1.332,0.66,206.608
K2-368 c,1,0,1.361,0.66,206.608
K2-368 d,1,0,1.948,0.66,206.608
K2-369 b,1,0,1.313,0.88,185.55
K2-37 b,1,0.0511,1.61,0.85,179.943
K2-37 c,1,0.0654,2.75,0.85,179.943
K2-37 d,1,0.1103,2.73,0.85,179.943
K2-370 b,1,0,3.207,0.97,144.202
K2-371 b,1,0,13.024,0.74,442.813
K2-372 b,1,0,2.945,0.92,463.88
K2-373 b,1,0,2.061,1.49,229.567
K2-374 b,1,0,1.593,0.91,359.439
K2-374 c,1,0,2.213,0.91,359.439
K2-375 b,1,0,2.243,1.54,696.1
K2-376 b,1,0,1.736,1.15,161.61
K2-377 b,1,0,1.693,0.69,195.149
K2-378 b,1,0,2.88,0.73,687.973
K2-379 b,1,0,2.181,0.75,182.207
K2-38 b,1,0.0503,1.655,1.14,192.69
K2-38 c,1,0.0959,2.49,1.14,192.69
K2-380 b,1,0,2.729,1.32,249.303
K2-381 b,1,0,1.075,0.68,145.701
K2-381 c,1,0,2,0.68,145.701
K2-381 d,1,0,1.689,0.68,145.701
K2-382 b,1,0,2.072,0.81,278.412
K2-383 b,1,0,1.564,0.8,203.788
K2-384 b,1,0,1.076,0.35,82.6603
K2-384 c,1,0,1.191,0.35,82.6603
K2-384 d,1,0,1.392,0.35,82.6603
K2-384 e,1,0,1.345,0.35,82.6603
K2-384 f,1,0,2.222,0.35,82.6603
K2-385 b,1,0,1.539,0.76,420.819
K2-386 b,1,0,2.32,0.97,428.785
K2-387 b,1,0,7.322,0.59,266.318
K2-388 b,1,0,3.66,0.9,290.495
K2-389 b,1,0,2.184,1.08,259.208
K2-389 c,1,0,2.04,1.08,259.208
K2-39 b,1,0.05708,6.277,2.97,307.47
K2-390 b,1,0,4.662,0.97,456.122
K2-391 b,1,0,1.371,0.57,507.94
K2-392 b,1,0,1.85,1.06,406.985
K2-393 b,1,0,2.352,1.07,265.914
K2-394 b,1,0,1.692,0.63,98.0152
K2-395 b,1,0,2.597,0.78,286.727
K2-395 c,1,0,3.395,0.78,286.727
K2-396 b,1,0,1.579,0.92,274.864
K2-396 c,1,0,3.124,0.92,274.864
K2-397 b,1,0,2.417,0.97,199.354
K2-398 b,1,0,2.274,1.24,606.992
K2-398 c,1,0,5.098,1.24,606.992
K2-4 b,1,0.078,2.1,0.57,231.828
K2-400 b,1,0,1.163,0.38,62.3804
K2-401 b,1,0,2.262,0.68,200.727
K2-402 b,1,0,2.678,1.28,523.055
K2-403 b,1,0,5.333,0.89,246.599
K2-404 b,1,0,2.53,0.55,121.63
K2-405 b,1,0,4.569,0.77,197.234
K2-406 b,1,0,4.602,0.96,85.3751
K2-407 b,1,0,1.283,0.93,218.376
K2-407 c,1,0,1.36,0.93,218.376
K2-408 b,1,0,1.677,0.78,162.306
K2-409 b,1,0,2.482,1.23,431.031
K2-411 b,1,0.0511,0.99,1.38,298.219
K2-412 b,1,0.0586,2.116,0.98,654.085
K2-413 b,1,0.0117,0.76,0.7,285.162
K2-413 c,1,0.0426,1.233,0.7,285.162
K2-414 b,1,0.0487,1.219,0.73,260.036
K2-414 c,1,0.0552,1.929,0.73,260.036
K2-415 b,1,0.027,1.015,0.2,21.8182
K2-416 b,1,0.088,2.66,0.55,120.311
K2-417 b,1,0.063,3.31,0.58,94.0424
K2-419 A b,2,0.1208,10.55,0.54,268.685
K2-42 b,1,0.0617,2.15,0.64,396.913
K2-43 b,1,0.03784,4.51,0.54,182.536
K2-43 c,1,0,2.42,0.54,182.536
K2-44 b,1,0.06,2.433,1.58,476.703
K2-45 b,1,0.0224,6.71,0.45,495.317
K2-46 b,1,0.13821,2.05,1.29,449.237
K2-47 b,1,0.1779,1.89,0.76,349.881
K2-48 b,1,0.1344,2.24,0.73,313.764
K2-49 b,1,0.0309,1.93,0.45,457.125
K2-5 b,1,0.0532,1.91,0.57,202.943
K2-5 c,1,0.0818,2.26,0.57,202.943
K2-50 b,1,0.0705,1.59,0.55,257.443
K2-52 b,1,0.054,18,2.19,1038.41
K2-53 b,1,0.098,2.6,0.81,138.018
K2-54 b,1,0.0671,1.15,0.38,174.955
K2-55 b,1,0.03486,3.82,0.63,159.522
K2-57 b,1,0.0746,2.1,0.62,264.213
K2-58 b,1,0.0692,2.68,0.86,181.746
K2-58 c,1,0.035,1.62,0.86,181.746
K2-58 d,1,0.1517,1.71,0.86,181.746
K2-59 b,1,0.1354,2.41,0.73,311.313
K2-59 c,1,0.0905,2.3,0.73,311.313
K2-6 b,1,0.1898,2.5,0.96,316.819
K2-60 b,1,0.045,7.656,1.12,491.87
K2-61 b,1,0.0392,2.48,1.36,405.732
K2-62 b,1,0.0636,2.14,0.73,112.467
K2-62 c,1,0.1148,2.14,0.73,112.467
K2-63 b,1,0.1627,3.22,1.63,517.534
K2-63 c,1,0.189,3.9,1.63,517.534
K2-64 b,1,0.0619,2.07,0.73,499.891
K2-65 b,1,0.1014,1.58,0.84,72.2
K2-66 b,1,0.05983,2.49,1.67,513.877
K2-68 b,1,0.0708,1.58,0.68,168.652
K2-69 b,1,0.0591,2.32,0.49,180.697
K2-7 b,1,0.1814,2.67,0.96,738.553
K2-70 b,1,0.1112,2.89,0.93,232.964
K2-71 b,1,0.0559,2.15,0.43,153.192
K2-72 b,1,0.04,1.08,0.33,66.4321
K2-72 c,1,0.078,1.16,0.33,66.4321
K2-72 d,1,0.05,1.01,0.33,66.4321
K2-72 e,1,0.106,1.29,0.33,66.4321
K2-73 b,1,0.07619,2.45,1.06,269.183
K2-74 b,1,0.1402,2.31,0.98,377.822
K2-75 b,1,0.081,2.67,1.56,561.93
K2-75 c,1,0.1429,2.77,1.56,561.93
K2-77 b,1,0.076,2.3,0.76,141.731
K2-79 b,1,0.0988,4.09,1.27,256.011
K2-8 b,1,0.0856,3.58,0.74,403.513
K2-8 c,1,0.0532,2.41,0.74,403.513
K2-80 b,1,0.135,2.01,0.87,200.802
K2-80 c,1,0.0596,1.47,0.87,200.802
K2-80 d,1,0,2.552,0.84,200.802
K2-81 b,1,0.059,1.97,0.63,252.318
K2-83 b,1,0.03014,1.244,0.42,125.529
K2-83 c,1,0.07131,1.483,0.42,125.529
K2-84 b,1,0.0665,2.41,0.93,284.876
K2-84 c,1,0.1768,2.03,0.93,284.876
K2-85 b,1,0.013,1.2,0.68,97.2179
K2-86 b,1,0.077,1.96,0.76,258.699
K2-87 b,1,0.094,7.6,1.4,491.242
K2-88 b,1,0.0345,1.23,0.26,110.561
K2-89 b,1,0.01462,0.615,0.32,86.0386
K2-9 b,1,0.091,2.25,0.31,82.9631
K2-90 b,1,0.096,2.6,0.62,134.188
K2-90 c,1,0.035,1.3,0.63,134.188
K2-91 b,1,0.0164,1.1,0.28,62.5785
K2-95 b,1,0.0525,3.31,0.4,179.854
K2-97 b,1,0.086,10.61,4.47,878.43
K2-98 b,1,0.0974,5.2,1.57,518.625
K2-99 b,1,0.1597,11.73,2.63,519.229
KELT-1 b,1,0.02466,12.442,1.46,268.43
KELT-10 b,1,0.0525,15.681,1.21,188.404
KELT-11 b,1,0.06229,15.132,2.69,99.1596
KELT-12 b,1,0.06708,19.952,2.37,368.03
KELT-14 b,1,0.03005,19.537,1.52,250.121
KELT-15 b,2,0.04613,19.504,1.78,324.683
KELT-16 b,2,0.02044,15.861,1.36,444.586
KELT-17 b,1,0.04881,17.094,1.65,226.5
KELT-18 b,2,0.0455,17.598,1.91,321.376
KELT-19 A b,2,0.0637,21.409,1.83,300.276
KELT-2 A b,2,0.05497,15.132,1.93,134.058
KELT-20 b,1,0.0542,19.515,1.57,136.426
KELT-21 b,1,0.05224,17.777,1.64,470.878
KELT-23 A b,2,0.03302,14.83,1,126.261
KELT-24 b,2,0.0665,12.711,1.34,96.5173
KELT-3 b,2,0.04123,17.486,1.7,210.252
KELT-4 A b,3,0.04317,19.044,1.6,218.05
KELT-6 b,1,0.07939,14.572,1.73,240.726
KELT-6 c,1,2.39,13,1.53,240.726
KELT-7 b,1,0.04415,17.934,1.81,136.681
KELT-8 b,1,0.0455,18.159,1.46,197.572
KELT-9 b,2,0.03462,21.196,2.36,204.455
KIC 10001893 b,1,0,0,0.18,1672.94
KIC 10001893 c,1,0,0,0.18,1672.94
KIC 10001893 d,1,0,0,0.18,1672.94
KIC 10068024 b,1,0,13.4,1.57,721.105
KIC 10525077 b,1,0,5.5,1.01,1461.15
KIC 3526061 b,1,5.14,12.1,5.86,401.229
KIC 3558849 b,1,0,6.9,1.01,1215.7
KIC 5437945 b,1,1.1455,6.4,1.24,1274.01
KIC 5479689 b,1,0,14.2,0.89,454.95
KIC 7917485 b,1,0,12.4,2.01,1382.89
KIC 8121913 b,1,0,13.4,2.23,707.303
KIC 8540376 b,1,0,4.1,1.26,1072.3
KIC 8540376 c,1,0,2.4,1.26,1072.3
KIC 9663113 b,1,1.4062,4.6,1.03,1594.74
KMT-2016-BLG-0212L b,1,2.2,12.2,0,6300
KMT-2016-BLG-1105L b,1,2.44,1.33,0,5080
KMT-2016-BLG-1107L b,1,0.342,13.1,0,6651
KMT-2016-BLG-1397L b,1,5.1,12.7,0,6600
KMT-2016-BLG-1820L b,1,1.08,12.9,0,6260
KMT-2016-BLG-1836L b,1,3.5,13.3,0,7100
KMT-2016-BLG-2142L b,1,0.83,12.2,0,7010
KMT-2016-BLG-2364L b,1,2.63,13,0,6440
KMT-2016-BLG-2397L b,1,3.64,13.2,0,4880
KMT-2016-BLG-2605L b,1,0.681,14,0,6421
KMT-2017-BLG-0165L b,1,3.45,6.45,0,4530
KMT-2017-BLG-0428L b,1,1.81,2.23,0,5400
KMT-2017-BLG-0673L b,1,2.34,13,0,5080
KMT-2017-BLG-1003L b,1,1.38,2.13,0,7090
KMT-2017-BLG-1038L b,1,1.8,13.4,0,6000
KMT-2017-BLG-1146L b,1,1.6,14,0,6500
KMT-2017-BLG-1194L b,1,1.78,1.7,0,4240
KMT-2017-BLG-2509L b,1,2.14,13.4,0,7040
KMT-2018-BLG-0029L b,1,4.27,2.67,0,3380
KMT-2018-BLG-0030L b,1,4.39,13.6,0,6480
KMT-2018-BLG-0087L b,1,0.87,10.1,0,7020
KMT-2018-BLG-0247L b,1,2.46,13.4,0,6760
KMT-2018-BLG-0748L b,1,0.62,9.01,0,7300
KMT-2018-BLG-0885L b,1,1.07,11.9,0,6890
KMT-2018-BLG-1025L b,1,1.305,2.34,0,6705
KMT-2018-BLG-1292L b,1,6.03,12.9,0,3460
KMT-2018-BLG-1743L b,1,1.449,10.5,0,6483
KMT-2018-BLG-1976L b,1,3.54,13.3,0,5840
KMT-2018-BLG-1988L b,1,3.09,2.22,0,4150
KMT-2018-BLG-1990L b,1,0.763,12.9,0,967
KMT-2018-BLG-1996L b,1,4.27,13.7,0,5910
KMT-2018-BLG-2602L b,1,3.81,13.7,0,4310
KMT-2019-BLG-0253L b,1,3.1,2.99,0,4900
KMT-2019-BLG-0297L b,1,0.96,12.1,0,3090
KMT-2019-BLG-0298L b,1,5.67,13.4,0,6710
KMT-2019-BLG-0335L b,1,1.64,12.1,0,7710
KMT-2019-BLG-0371L b,1,0.79,12.6,0,7010
KMT-2019-BLG-0414L b,1,1.16,12.9,0,4410
KMT-2019-BLG-0842L b,1,3.31,3.19,0,3320
KMT-2019-BLG-0953L b,1,1.1,4.06,0,7200
KMT-2019-BLG-1042L b,1,1.7,9.05,0,6600
KMT-2019-BLG-1216L b,1,2.44,5.98,0,2740
KMT-2019-BLG-1339L b,1,2.15,13.7,0,6120
KMT-2019-BLG-1367L b,1,1.7,1.85,0,4670
KMT-2019-BLG-1552L b,1,2.6,13,0,4600
KMT-2019-BLG-1715L b,1,3.32,13.2,0,3860
KMT-2019-BLG-1806L b,1,3.02,2,0,6640
KMT-2019-BLG-1953L b,1,0,14.1,0,7040
KMT-2019-BLG-2783L b,1,1.85,13.7,0,5910
KMT-2019-BLG-2974L b,1,2,11.4,0,6100
KMT-2020-BLG-0414L b,1,1.26,0.997,0,800
KMT-2020-BLG-0414L c,1,0.12,12.2,0,800
KMT-2021-BLG-0119L b,1,2.92,12.8,0,3130
KMT-2021-BLG-0171L b,1,3.5,3.35,0,4600
KMT-2021-BLG-0192L b,1,1.62,6.56,0,5120
KMT-2021-BLG-0240L b,1,2.8,9.6,0,6600
KMT-2021-BLG-0320L b,1,1.54,6.2,0,6950
KMT-2021-BLG-0322L b,2,0,12.7,0,6600
KMT-2021-BLG-0712L b,1,2.22,6.91,0,3090
KMT-2021-BLG-0748L b,1,2.43,14.3,0,6090
KMT-2021-BLG-0909L b,1,1.75,13.7,0,6480
KMT-2021-BLG-0912L b,1,3.14,1.49,0,5560
KMT-2021-BLG-1077L b,1,1.26,9.86,0,8240
KMT-2021-BLG-1077L c,1,0.93,10.6,0,8240
KMT-2021-BLG-1105L b,1,3.54,13.6,0,4540
KMT-2021-BLG-1150L b,1,4.5,13.9,0,3800
KMT-2021-BLG-1253L b,1,1.52,4.59,0,6640
KMT-2021-BLG-1303L b,1,2.89,13.6,0,6280
KMT-2021-BLG-1372L b,1,2.37,9.12,0,5970
KMT-2021-BLG-1391L b,1,2.29,1.97,0,5720
KMT-2021-BLG-1547L b,1,4.5,13.6,0,5070
KMT-2021-BLG-1554L b,1,0.72,6.9,0,7680
KMT-2021-BLG-1689L b,1,2.5,7.71,0,7200
KMT-2021-BLG-1770L b,1,0.9,12.1,0,6920
KMT-2021-BLG-1898L b,1,1.9,14,0,6900
KMT-2021-BLG-2010L b,1,1.79,13.8,0,7090
KMT-2021-BLG-2294L b,1,1.15,5.02,0,6800
KMT-2021-BLG-2478L b,1,1.85,13.9,0,2970
KMT-2022-BLG-0371L b,1,3.02,10.9,0,7140
KMT-2022-BLG-0440L b,1,1.9,4.05,0,3500
KMT-2022-BLG-1013L b,1,1.38,12.1,0,7710
KMT-2023-BLG-0416L b,1,2.96,3.67,0,5900
KMT-2023-BLG-0469L b,1,2.31,7.04,0,7070
KMT-2023-BLG-0735L b,1,2.96,6.97,0,6390
KMT-2023-BLG-1431L b,1,3.2,3.76,0,6800
KMT-2023-BLG-1454L b,1,1.18,14.1,0,7220
KMT-2023-BLG-1642L b,1,1.41,13.8,0,6980
KOI-12 b,1,0.154,13.787,1.4,399.398
KOI-1257 b,2,0.382,10.54,1.13,656
KOI-13 b,3,0.03641,16.948,1.74,519.096
KOI-142 b,1,0.095822,3.438,0.9,376.863
KOI-142 c,1,0.154121,14,0.9,376.863
KOI-1599.01,1,0.14728,1.9,0.97,1131.64
KOI-1599.02,1,0.112293,1.9,0.97,1131.64
KOI-1783.01,1,0.5135,8.86,1.14,865.73
KOI-1783.02,1,0.8453,5.44,1.14,865.73
KOI-1831 d,1,0.1949,1.13,0.84,501.574
KOI-1833 d,1,0.0634,2.58,0.67,290.324
KOI-217 b,1,0.0477,12.442,0.86,914.699
KOI-2513.01,1,0.5,2.802,1.2,1369.87
KOI-3503 b,1,0.1462,1.19,1.25,887.064
KOI-3503 c,1,0.1911,1.21,1.25,887.064
KOI-351 b,1,0.074,1.31,1.2,848.254
KOI-351 c,1,0.089,1.19,1.2,848.254
KOI-351 d,1,0.32,2.87,1.2,848.254
KOI-351 e,1,0.42,2.66,1.2,848.254
KOI-351 f,1,0.48,2.88,1.2,848.254
KOI-351 g,1,0.71,8.1,1.2,848.254
KOI-351 h,1,1.01,11.3,1.2,848.254
KOI-3680 b,1,0.534,11.097,0.96,921.986
KOI-4777.01,1,0.008,0.51,0.4,172.245
KOI-55 b,1,0.006,0.759,0.2,1231.02
KOI-55 c,1,0.0076,0.867,0.2,1231.02
KOI-7368 b,1,0.0678,2.22,0.87,264.995
KOI-7913 b,2,0.1456,2.34,0.79,271.277
KOI-94 b,2,0.05119,1.71,1.52,477.052
KOI-94 c,2,0.1013,4.32,1.52,477.052
KOI-94 d,2,0.1684,11.27,1.52,477.052
KOI-94 e,2,0.3046,6.56,1.52,477.052
KOI-984 b,1,0.0504,4.3,0.82,252.667
KOI-984 c,1,0.1467,14.1,0.82,252.667
KPS-1 b,1,0.0269,11.545,0.91,262.706
Kapteyn c,1,0.311,2.54,0.29,3.93305
Kepler-10 b,1,0.01685,1.47,1.06,185.506
Kepler-10 c,1,0.241,2.355,1.06,185.506
Kepler-10 d,1,0.5379,3.61,1.06,185.506
Kepler-100 b,1,0.073063,1.32,1.49,304.645
Kepler-100 c,1,0.110537,2.2,1.49,304.645
Kepler-100 d,1,0.217335,1.61,1.49,304.645
Kepler-100 e,1,0.312392,5.27,1.51,304.645
Kepler-1000 b,1,0.5337,4.76,1.51,1115.62
Kepler-1001 b,1,0.1129,3.15,0.88,928.978
Kepler-1001 c,1,0.084,1.578,0.84,928.978
Kepler-1002 b,1,0.0564,1.71,1.57,408.303
Kepler-1003 b,1,0.0444,1.78,1.17,941.902
Kepler-1004 b,1,0.0671,6.28,3.39,1152.68
Kepler-1005 b,1,0.0669,1.5,1.06,567.806
Kepler-1006 b,1,0.1464,1.54,0.74,1081.738
Kepler-1007 b,1,0.048,1.44,0.7,365
Kepler-1008 b,2,0.0951,1.28,0.78,282.565
Kepler-1009 b,1,0.0796,2.17,0.57,355.019
Kepler-101 b,1,0.0474,5.77,1.56,927.981
Kepler-101 c,1,0.0684,1.25,1.56,927.981
Kepler-1010 b,1,0.193,2.32,0.82,579.273
Kepler-1011 b,1,0.0633,2.87,0.88,736.779
Kepler-1012 b,1,0.0585,1.29,0.91,411.077
Kepler-1013 b,1,0.137,2.15,0.76,422.246
Kepler-1014 b,1,0.121,2.39,0.84,624.8
Kepler-1015 b,1,0.1396,3.55,1.81,739.357
Kepler-1016 b,1,0.0307,2.18,1,1402.82
Kepler-1016 c,1,0.4389,3.68,1,1402.82
Kepler-1017 b,1,0.0702,1.99,0.87,552.058
Kepler-1018 b,1,0.253,2.58,0.88,1010.01
Kepler-1019 b,1,0.0221,1.46,0.67,194.182
Kepler-102 b,1,0.05521,0.46,0.72,107.796
Kepler-102 c,1,0.06702,0.567,0.72,107.796
Kepler-102 d,1,0.08618,1.154,0.72,107.796
Kepler-102 e,1,0.1162,2.17,0.72,107.796
Kepler-102 f,1,0.1656,0.861,0.72,107.796
Kepler-1020 b,1,0.3878,2.28,0.8,415.358
Kepler-1021 b,1,0.1034,2.33,0.86,810.082
Kepler-1022 b,1,0.0805,2.36,0.68,420.042
Kepler-1023 b,1,0.301,2.63,0.89,694.175
Kepler-1024 b,1,0.3033,3.91,0.78,1087.4
Kepler-1025 b,1,0.3344,1.98,1.13,803.776
Kepler-1026 b,1,0.1977,2.21,0.75,351.239
Kepler-1027 b,2,0.0295,0.89,0.82,405.104
Kepler-1028 b,1,0.0354,1.33,0.87,607.916
Kepler-1029 b,1,0.047,1.26,0.77,366.656
Kepler-103 b,1,0.13223,3.486,1.49,494.832
Kepler-103 c,1,0.6639,5.45,1.49,494.832
Kepler-1030 b,1,0.1338,2.48,0.76,758.702
Kepler-1031 b,1,0.0218,0.87,1.12,682.882
Kepler-1032 b,1,0.0361,1.87,0.71,673.01
Kepler-1033 b,1,0.0761,2.51,0.92,1455.5
Kepler-1034 b,1,0.0965,2.26,0.8,654.549
Kepler-1035 b,1,0.0386,1.17,0.97,562.116
Kepler-1036 b,1,0.4629,3.01,0.89,489.435
Kepler-1037 b,1,0.0198,1.28,0.78,446.914
Kepler-1038 b,1,0.5238,3.53,0.83,584.136
Kepler-1038 c,1,0.0692,1.416,0.82,584.136
Kepler-1039 b,1,0.0184,1.46,0.74,306.91
Kepler-104 b,2,0.094,3.1,1.35,400.785
Kepler-104 c,2,0.153,3.13,1.35,400.785
Kepler-104 d,2,0.257,3.58,1.35,400.785
Kepler-1040 b,1,0.6559,2.08,0.96,482.119
Kepler-1041 b,1,0.1688,2.94,1.08,1485.82
Kepler-1042 b,1,0.0756,2.19,0.72,659
Kepler-1043 b,1,0.2159,2.55,0.9,903.332
Kepler-1044 b,1,0.0741,2.67,1.11,1278.96
Kepler-1045 b,1,0.1616,2.69,0.82,942.485
Kepler-1046 b,1,0.1167,1.71,1.04,721.534
Kepler-1047 b,1,0.2939,2.09,1.13,817.647
Kepler-1047 c,1,0.0434,0.99,1.13,817.647
Kepler-1048 b,1,0.059,1.61,0.7,556.006
Kepler-1049 b,1,0.0349,0.95,0.49,162.006
Kepler-105 b,1,0.066,4.81,1.58,459.223
Kepler-105 c,1,0.0711,1.31,0.89,459.223
Kepler-1050 b,1,0.1313,1.6,1.13,490.488
Kepler-1050 c,1,0.1622,1.48,1.13,490.488
Kepler-1051 b,1,0.1891,3.4,1.73,829.343
Kepler-1052 b,1,0.2046,2.93,1.03,943.444
Kepler-1052 c,1,0.6135,2.3,0.85,943.444
Kepler-1053 b,1,0.0315,0.98,0.69,151.129
Kepler-1054 b,1,0.054,2.63,1.34,1090.51
Kepler-1055 b,1,0.0331,1.23,0.94,389.397
Kepler-1056 b,1,0.1629,3.01,1.2,982.51
Kepler-1057 b,1,0.1138,3.36,1.1,1201.82
Kepler-1058 b,1,0.3679,2.72,0.69,491.997
Kepler-1059 b,1,0.044,1.73,0.72,713.167
Kepler-106 b,1,0.064888,0.82,1.04,444.322
Kepler-106 c,1,0.109803,2.5,1.04,444.322
Kepler-106 d,1,0.16049,0.95,1.04,444.322
Kepler-106 e,1,0.239969,2.56,1.04,444.322
Kepler-1060 b,1,0.2495,2.38,0.99,946.565
Kepler-1061 b,1,0.0384,1.98,1.07,543.375
Kepler-1062 b,1,0.0748,1.76,0.7,397.455
Kepler-1063 b,2,0.1176,1.49,1.14,343.226
Kepler-1064 b,1,0.1183,1.55,0.79,374
Kepler-1065 b,1,0.0455,3.73,0.93,1122.48
Kepler-1065 c,1,0.0344,1.6,0.93,1122.48
Kepler-1066 b,1,0.0299,2.36,0.98,344.251
